1c000000, cafedead
1c062800, cafedf72
1c063000, cafedf73
1c063800, cafedf74
1c064000, cafedf75
1c064800, cafedf76
1c065000, cafedf77
1c065800, cafedf78
1c066000, cafedf79
1c066800, cafedf7a
1c067000, cafedf7b
1c067800, cafedf7c
1c068000, cafedf7d
1c068800, cafedf7e
1c069000, cafedf7f
1c069800, cafedf80
1c06a000, cafedf81
1c06a800, cafedf82
1c06b000, cafedf83
1c06b800, cafedf84
1c06c000, cafedf85
1c06c800, cafedf86
1c06d000, cafedf87
1c06d800, cafedf88
1c06e000, cafedf89
1c06e800, cafedf8a
1c06f000, cafedf8b
1c06f800, cafedf8c
1c070000, cafedf8d
1c070800, cafedf8e
1c071000, cafedf8f
1c071800, cafedf90
1c072000, cafedf91
1c072800, cafedf92
1c073000, cafedf93
1c073800, cafedf94
1c074000, cafedf95
1c074800, cafedf96
1c075000, cafedf97
1c075800, cafedf98
1c076000, cafedf99
1c076800, cafedf9a
1c077000, cafedf9b
1c077800, cafedf9c
1c078000, cafedf9d
1c078800, cafedf9e
1c079000, cafedf9f
1c079800, cafedfa0
1c07a000, cafedfa1
1c07a800, cafedfa2
1c07b000, cafedfa3
1c07b800, cafedfa4
1c07c000, cafedfa5
1c07c800, cafedfa6
1c07d000, cafedfa7
1c07d800, cafedfa8
1c07e000, cafedfa9
1c07e800, cafedfaa
1c07f000, cafedfab
1c07f800, cafedfac
